,main_speaker,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
16,Jennifer Lin,9.5,8.25,8.0,7.25,6.25,6.0,10.75,6.166666666666667,6.5,6.0,6.583333333333333,5.416666666666667
17,Amy Smith,76.41666666666667,65.58333333333333,66.58333333333333,57.833333333333336,60.916666666666664,63.416666666666664,49.416666666666664,49.25,51.583333333333336,56.916666666666664,48.0,39.166666666666664
18,Ross Lovegrove,2.6666666666666665,2.8333333333333335,2.25,1.9166666666666667,1.5833333333333333,1.1666666666666667,1.0,1.0833333333333333,1.0,0.75,0.4166666666666667,0.5833333333333334
19,Jimmy Wales,2.5833333333333335,3.5,5.416666666666667,9.0,17.333333333333332,11.583333333333334,5.416666666666667,3.4166666666666665,2.75,2.8333333333333335,2.6666666666666665,5.0
20,Richard Baraniuk,1.5833333333333333,2.0833333333333335,1.3333333333333333,1.1666666666666667,1.0,0.75,0.75,0.5,0.25,0.08333333333333333,0.0,0.08333333333333333
21,Ze Frank,45.416666666666664,43.833333333333336,21.083333333333332,22.083333333333332,22.083333333333332,15.166666666666666,28.166666666666668,30.416666666666668,24.583333333333332,16.25,9.666666666666666,7.25
22,Mena Trott,6.916666666666667,3.1666666666666665,3.0,1.6666666666666667,1.1666666666666667,0.75,0.75,0.9166666666666666,0.25,0.25,0.25,0.08333333333333333
23,Helen Fisher,24.0,21.333333333333332,25.25,44.416666666666664,31.416666666666668,27.666666666666668,28.5,31.916666666666668,30.916666666666668,30.25,25.0,22.833333333333332
24,Eve Ensler,22.083333333333332,13.833333333333334,20.333333333333332,10.75,15.666666666666666,13.916666666666666,12.833333333333334,14.166666666666666,9.0,7.916666666666667,4.666666666666667,4.083333333333333
25,David Deutsch,17.333333333333332,21.833333333333332,18.0,23.166666666666668,25.833333333333332,25.916666666666668,22.416666666666668,17.666666666666668,16.75,17.166666666666668,20.416666666666668,18.666666666666668
26,Richard Dawkins,38.916666666666664,67.0,56.25,57.833333333333336,59.25,51.666666666666664,50.166666666666664,43.666666666666664,34.333333333333336,36.416666666666664,24.166666666666668,20.25
27,Steven Levitt,4.666666666666667,3.0,2.4166666666666665,2.3333333333333335,2.0833333333333335,1.8333333333333333,1.3333333333333333,1.25,1.25,1.0833333333333333,1.0,1.0
28,Malcolm Gladwell,10.5,7.166666666666667,10.166666666666666,19.916666666666668,17.333333333333332,16.583333333333332,13.25,17.916666666666668,17.166666666666668,11.833333333333334,14.0,12.75
29,Dan Gilbert,1.75,1.8333333333333333,1.0833333333333333,2.1666666666666665,11.833333333333334,4.166666666666667,3.25,3.5,7.416666666666667,4.416666666666667,5.0,4.666666666666667
30,Barry Schwartz,43.5,40.916666666666664,31.0,51.0,48.916666666666664,48.5,42.916666666666664,38.5,33.75,36.0,28.166666666666668,25.0
31,Eva Vertes,4.083333333333333,9.166666666666666,7.583333333333333,5.333333333333333,4.416666666666667,3.25,3.25,1.8333333333333333,2.5833333333333335,2.0833333333333335,1.6666666666666667,1.0833333333333333
32,Aubrey de Grey,30.416666666666668,38.666666666666664,32.333333333333336,32.0,36.75,36.416666666666664,27.083333333333332,22.083333333333332,25.583333333333332,27.0,19.833333333333332,18.5
33,Iqbal Quadir,5.0,3.5833333333333335,3.1666666666666665,3.5,2.25,1.5833333333333333,1.25,1.0833333333333333,1.0,1.0833333333333333,1.0,0.5833333333333334
34,Jacqueline Novogratz,20.083333333333332,12.416666666666666,24.333333333333332,45.833333333333336,41.333333333333336,38.166666666666664,28.0,23.916666666666668,18.083333333333332,16.75,13.333333333333334,12.833333333333334
35,Sasa Vucinic,6.333333333333333,7.583333333333333,1.8333333333333333,5.666666666666667,8.666666666666666,5.0,4.75,2.5833333333333335,3.3333333333333335,2.5833333333333335,1.75,1.0
